district,filing_year,prior_chapter,gap_days,f_type,outcome
wiebk,2015,7,72,f(1),pending
wiwbk,2017,7,147,f(1),dismissed
mowbk,2020,7,303,f(1),dismissed
wiebk,2011,7,373,f(1),pending
mowbk,2025,7,535,f(1),pending
mowbk,,13,536,f(2),pending
wiebk,2014,7,851,f(1),dismissed
mowbk,2025,7,758,f(1),pending
mowbk,,7,226,f(1),pending
mowbk,2024,7,853,f(1),dismissed
mowbk,,7,1036,f(1),pending
mowbk,,7,1259,f(1),pending
mowbk,2010,13,113,f(2),discharged
mowbk,2019,7,175,f(1),pending
mowbk,2018,13,406,f(2),discharged
mowbk,2010,7,450,f(1),discharged
mowbk,2011,7,568,f(1),discharged
mowbk,2018,13,715,f(2),discharged
mowbk,2012,7,778,f(1),dismissed
ksbk,2009,7,812,f(1),discharged
mowbk,2021,7,863,f(1),discharged
ksbk,2018,7,971,f(1),discharged
mowbk,2021,7,990,f(1),dismissed
mowbk,2023,7,1193,f(1),pending
mowbk,2012,7,1393,f(1),discharged
mowbk,2018,7,1457,f(1),discharged
mowbk,2014,7,45,f(1),pending
mowbk,2014,7,49,f(1),pending
mowbk,2014,7,273,f(1),discharged
mowbk,2025,13,523,f(2),pending
mowbk,2013,13,537,f(2),pending
mowbk,2022,13,581,f(2),pending
mowbk,2023,13,674,f(2),dismissed
mowbk,2025,7,1183,f(1),dismissed
mowbk,2021,7,1350,f(1),discharged
mowbk,2019,7,1365,f(1),discharged
mowbk,2025,7,1384,f(1),pending
ksbk,2024,7,1439,f(1),dismissed
ksbk,2008,7,9,f(1),pending
ksbk,2013,7,19,f(1),pending
ksbk,2015,13,21,f(2),discharged
mowbk,2016,7,35,f(1),dismissed
mowbk,2007,7,43,f(1),dismissed
ksbk,2010,7,56,f(1),discharged
mowbk,2007,7,69,f(1),pending
ksbk,2023,13,114,f(2),pending
mowbk,2007,7,135,f(1),dismissed
mowbk,2018,7,161,f(1),pending
ksbk,2006,7,184,f(1),dismissed
ksbk,2008,7,204,f(1),dismissed
ksbk,2019,7,210,f(1),dismissed
ksbk,2008,7,220,f(1),dismissed
ksbk,2011,13,234,f(2),discharged
mowbk,2011,7,253,f(1),discharged
ksbk,2009,7,264,f(1),pending
ksbk,2024,7,294,f(1),pending
ksbk,2011,7,378,f(1),pending
mowbk,2017,13,388,f(2),discharged
ksbk,2010,7,421,f(1),dismissed
ksbk,2013,13,485,f(2),discharged
ksbk,2009,7,491,f(1),dismissed
mowbk,2011,13,499,f(2),discharged
ksbk,2012,7,519,f(1),dismissed
ksbk,2009,13,522,f(2),discharged
mowbk,2015,13,558,f(2),pending
mowbk,2013,7,583,f(1),dismissed
mowbk,2007,7,654,f(1),dismissed
ksbk,2011,13,671,f(2),discharged
mowbk,2007,7,675,f(1),discharged
mowbk,2010,7,687,f(1),dismissed
mowbk,2009,7,709,f(1),discharged
mowbk,2008,7,722,f(1),discharged
mowbk,2011,7,833,f(1),dismissed
mowbk,2025,7,853,f(1),pending
ksbk,2007,7,869,f(1),pending
mowbk,2007,7,869,f(1),discharged
ksbk,2017,7,1030,f(1),dismissed
mowbk,2005,7,1041,f(1),pending
mowbk,2012,7,1044,f(1),dismissed
ksbk,2010,7,1057,f(1),dismissed
mowbk,2007,7,1112,f(1),pending
mowbk,2008,7,1115,f(1),discharged
mowbk,2009,7,1238,f(1),dismissed
ksbk,,7,1248,f(1),pending
ksbk,2012,7,1356,f(1),discharged
ksbk,2014,7,1359,f(1),dismissed
ksbk,2023,7,1414,f(1),pending
mowbk,2023,7,1429,f(1),pending
mowbk,2005,7,1434,f(1),dismissed
mowbk,2008,7,1436,f(1),discharged
mowbk,2013,7,1442,f(1),discharged
mowbk,2007,7,50,f(1),dismissed
ksbk,2006,13,54,f(2),discharged
mowbk,2006,7,72,f(1),discharged
ksbk,2007,7,112,f(1),dismissed
mowbk,2008,7,134,f(1),discharged
ksbk,2007,7,146,f(1),discharged
ksbk,2006,7,168,f(1),discharged
ksbk,2006,7,208,f(1),pending
ksbk,2008,13,272,f(2),dismissed
ksbk,2007,13,312,f(2),discharged
ksbk,2008,13,316,f(2),discharged
ksbk,2006,7,331,f(1),discharged
mowbk,,13,333,f(2),pending
ksbk,2006,7,344,f(1),pending
ksbk,2007,7,386,f(1),discharged
mowbk,2006,7,386,f(1),discharged
mowbk,2007,7,438,f(1),dismissed
mowbk,2008,7,516,f(1),dismissed
ksbk,2006,7,532,f(1),discharged
mowbk,2006,7,536,f(1),dismissed
mowbk,2007,7,567,f(1),discharged
mowbk,2023,13,636,f(2),pending
ksbk,2008,7,646,f(1),discharged
mowbk,2007,7,652,f(1),pending
mowbk,2006,7,699,f(1),discharged
ksbk,2009,13,731,f(2),discharged
mowbk,2008,7,849,f(1),dismissed
mowbk,2008,7,998,f(1),discharged
ksbk,2008,7,1003,f(1),discharged
ksbk,2008,7,1023,f(1),dismissed
mowbk,2006,7,1044,f(1),discharged
ksbk,2023,7,1050,f(1),pending
ksbk,2008,7,1134,f(1),discharged
mowbk,2007,7,1162,f(1),dismissed
ksbk,2007,7,1333,f(1),discharged
mowbk,2006,7,1403,f(1),discharged
ilnbk,2009,13,6,f(2),pending
wiebk,2015,7,183,f(1),pending
wiebk,2011,7,498,f(1),pending
mowbk,2020,7,506,f(1),dismissed
mowbk,2025,7,649,f(1),pending
mowbk,2020,13,693,f(2),discharged
wiwbk,2017,7,763,f(1),dismissed
wiebk,2014,7,960,f(1),dismissed
mowbk,2025,7,855,f(1),pending
mowbk,,7,387,f(1),pending
mowbk,2024,7,944,f(1),dismissed
mowbk,,7,1067,f(1),pending
mowbk,,7,1365,f(1),pending
mowbk,2021,7,30,f(1),pending
mowbk,2019,7,281,f(1),pending
mowbk,2021,13,425,f(2),pending
mowbk,2010,7,545,f(1),discharged
mowbk,2011,7,658,f(1),discharged
mowbk,2012,7,882,f(1),dismissed
ksbk,2009,7,932,f(1),discharged
mowbk,2021,7,950,f(1),discharged
mowbk,2023,7,1285,f(1),pending
mowbk,2014,7,146,f(1),pending
mowbk,2014,7,147,f(1),pending
mowbk,2014,7,365,f(1),discharged
mowbk,2017,13,538,f(2),dismissed
mowbk,2025,7,1279,f(1),dismissed
mowbk,2008,7,49,f(1),discharged
ksbk,2013,7,112,f(1),pending
ksbk,2008,7,119,f(1),pending
mowbk,2016,7,140,f(1),dismissed
mowbk,2007,7,225,f(1),dismissed
mowbk,2007,7,252,f(1),dismissed
mowbk,2007,7,288,f(1),pending
ksbk,2019,7,301,f(1),dismissed
ksbk,2008,7,311,f(1),dismissed
ksbk,2006,7,356,f(1),dismissed
ksbk,2024,7,386,f(1),pending
ksbk,2009,7,399,f(1),pending
mowbk,2011,7,410,f(1),discharged
ksbk,2011,7,469,f(1),pending
ksbk,2010,7,510,f(1),dismissed
ksbk,2012,7,616,f(1),dismissed
ksbk,2009,7,630,f(1),dismissed
mowbk,2013,7,677,f(1),dismissed
mowbk,2018,7,686,f(1),pending
mowbk,2007,7,767,f(1),discharged
mowbk,2010,7,776,f(1),dismissed
mowbk,2009,7,806,f(1),discharged
ksbk,2013,7,880,f(1),discharged
ksbk,2008,7,896,f(1),dismissed
mowbk,2011,7,953,f(1),dismissed
mowbk,2007,7,1020,f(1),discharged
ksbk,2007,7,1022,f(1),pending
ksbk,2017,7,1122,f(1),dismissed
mowbk,2012,7,1148,f(1),dismissed
mowbk,2005,7,1155,f(1),pending
mowbk,2007,7,1172,f(1),dismissed
ksbk,2010,7,1196,f(1),dismissed
mowbk,2007,7,1198,f(1),pending
mowbk,2008,7,1207,f(1),discharged
ksbk,,7,1341,f(1),pending
ksbk,2010,7,1357,f(1),discharged
mowbk,2009,7,1364,f(1),dismissed
mowbk,2011,7,1380,f(1),discharged
ksbk,2007,7,27,f(1),discharged
mowbk,2007,13,34,f(2),dismissed
mowbk,2007,7,70,f(1),pending
ksbk,2006,13,96,f(2),discharged
ksbk,2007,7,169,f(1),dismissed
ksbk,2007,7,211,f(1),dismissed
ksbk,2007,13,218,f(2),discharged
ksbk,2007,7,238,f(1),discharged
ksbk,2008,13,295,f(2),dismissed
mowbk,2007,7,343,f(1),dismissed
mowbk,2008,7,360,f(1),discharged
ksbk,2006,13,412,f(2),discharged
ksbk,2008,13,414,f(2),discharged
ksbk,2006,7,426,f(1),discharged
ksbk,2006,7,475,f(1),pending
mowbk,2007,7,483,f(1),dismissed
ksbk,2006,7,500,f(1),pending
mowbk,2007,7,561,f(1),dismissed
mowbk,2006,7,611,f(1),discharged
mowbk,2006,13,625,f(2),discharged
ksbk,2007,7,686,f(1),discharged
mowbk,2006,7,691,f(1),dismissed
ksbk,2007,13,714,f(2),discharged
mowbk,2007,7,771,f(1),pending
mowbk,2007,7,774,f(1),discharged
ksbk,2008,7,784,f(1),discharged
mowbk,2006,7,796,f(1),discharged
mowbk,2008,7,844,f(1),dismissed
ksbk,2006,7,862,f(1),discharged
mowbk,2006,7,871,f(1),discharged
mowbk,2008,7,960,f(1),dismissed
ksbk,2023,7,1161,f(1),pending
mowbk,2006,7,1185,f(1),discharged
ksbk,2008,7,1190,f(1),dismissed
mowbk,2008,7,1202,f(1),discharged
ksbk,2008,7,1205,f(1),discharged
ksbk,2008,7,1254,f(1),discharged
mowbk,2007,7,1272,f(1),dismissed
ksbk,,,,,unknown
ksbk,,,,,unknown
ksbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
wiwbk,,,,,unknown
ksbk,,,,,unknown
mowbk,,,,,unknown
ksbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
ksbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
ksbk,,,,,unknown
ksbk,,,,,unknown
ksbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
ksbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
ksbk,,,,,unknown
ksbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
ksbk,,,,,unknown
ksbk,,,,,unknown
ksbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
wiwbk,,,,,unknown
ksbk,,,,,unknown
mowbk,,,,,unknown
ksbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
ksbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
ksbk,,,,,unknown
ksbk,,,,,unknown
ksbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
ksbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
ksbk,,,,,unknown
ksbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
mowbk,,,,,unknown
