year,chapter,district,case_count
2008,11,akbk,245
2008,11,almbk,17
2008,11,alnbk,84
2008,11,alsbk,27
2008,11,arebk,12
2008,11,arwbk,29
2008,11,azbk,154
2008,11,cacbk,603
2008,11,caebk,9
2008,11,canbk,85
2008,11,casbk,37
2008,11,cobk,72
2008,11,ctbk,113
2008,11,dcbk,7
2008,11,debk,526
2008,11,flmbk,360
2008,11,flnbk,36
2008,11,flsbk,236
2008,11,gambk,29
2008,11,ganbk,251
2008,11,gasbk,21
2008,11,gubk,25
2008,11,hibk,13
2008,11,ianbk,2
2008,11,iasbk,8
2008,11,idbk,15
2008,11,ilcbk,6
2008,11,ilnbk,147
2008,11,ilsbk,16
2008,11,innbk,33
2008,11,insbk,64
2008,11,ksbk,29
2008,11,kyebk,34
2008,11,kywbk,37
2008,11,laebk,46
2008,11,lambk,10
2008,11,lawbk,23
2008,11,mabk,94
2008,11,mdbk,171
2008,11,mebk,26
2008,11,miebk,145
2008,11,miwbk,36
2008,11,mnbk,26
2008,11,moebk,30
2008,11,mowbk,45
2008,11,msnbk,38
2008,11,mssbk,23
2008,11,mtbk,7
2008,11,ncebk,78
2008,11,ncmbk,16
2008,11,ncwbk,44
2008,11,ndbk,3
2008,11,nebk,15
2008,11,nhbk,10
2008,11,njbk,231
2008,11,nmbk,16
2008,11,nvbk,130
2008,11,nyebk,125
2008,11,nynbk,33
2008,11,nysbk,420
2008,11,nywbk,44
2008,11,ohnbk,87
2008,11,ohsbk,50
2008,11,okebk,3
2008,11,oknbk,10
2008,11,okwbk,14
2008,11,orbk,37
2008,11,paebk,83
2008,11,pambk,21
2008,11,pawbk,106
2008,11,prbk,95
2008,11,scbk,63
2008,11,sdbk,4
2008,11,tnebk,29
2008,11,tnmbk,78
2008,11,tnwbk,32
2008,11,txebk,55
2008,11,txnbk,196
2008,11,txsbk,182
2008,11,txwbk,73
2008,11,utbk,38
2008,11,vaebk,105
2008,11,vawbk,33
2008,11,vtbk,2
2008,11,waebk,11
2008,11,wawbk,104
2008,11,wiebk,13
2008,11,wiwbk,20
2008,11,wvnbk,7
2008,11,wvsbk,19
2008,11,wybk,11
2008,12,akbk,5
2008,12,almbk,3
2008,12,alnbk,5
2008,12,alsbk,1
2008,12,arebk,5
2008,12,arwbk,1
2008,12,cacbk,2
2008,12,caebk,1
2008,12,canbk,5
2008,12,cobk,2
2008,12,ctbk,2
2008,12,dcbk,7
2008,12,debk,1
2008,12,flmbk,3
2008,12,flnbk,1
2008,12,flsbk,5
2008,12,gambk,12
2008,12,ganbk,3
2008,12,gasbk,3
2008,12,hibk,1
2008,12,ianbk,1
2008,12,iasbk,1
2008,12,idbk,8
2008,12,ilcbk,6
2008,12,ilnbk,1
2008,12,ilsbk,3
2008,12,innbk,4
2008,12,insbk,3
2008,12,ksbk,11
2008,12,kyebk,2
2008,12,kywbk,3
2008,12,lawbk,4
2008,12,mabk,3
2008,12,mebk,1
2008,12,miebk,10
2008,12,miwbk,4
2008,12,mnbk,7
2008,12,moebk,4
2008,12,mowbk,5
2008,12,mssbk,1
2008,12,mtbk,5
2008,12,ncebk,5
2008,12,ncmbk,2
2008,12,ncwbk,2
2008,12,ndbk,1
2008,12,nebk,10
2008,12,nmbk,1
2008,12,nvbk,1
2008,12,nynbk,5
2008,12,nywbk,3
2008,12,ohnbk,3
2008,12,ohsbk,3
2008,12,okebk,1
2008,12,okwbk,9
2008,12,orbk,5
2008,12,pambk,2
2008,12,pawbk,5
2008,12,prbk,28
2008,12,tnebk,6
2008,12,tnmbk,1
2008,12,txebk,5
2008,12,txnbk,5
2008,12,txsbk,4
2008,12,txwbk,2
2008,12,vawbk,4
2008,12,vtbk,2
2008,12,waebk,3
2008,12,wawbk,1
2008,12,wiebk,6
2008,12,wiwbk,7
2008,12,wybk,2
2008,13,akbk,2692
2008,13,almbk,4230
2008,13,alnbk,7963
2008,13,alsbk,3399
2008,13,arebk,3767
2008,13,arwbk,1934
2008,13,azbk,5667
2008,13,cacbk,12355
2008,13,caebk,97
2008,13,canbk,4879
2008,13,casbk,1707
2008,13,cobk,2491
2008,13,ctbk,1482
2008,13,dcbk,372
2008,13,debk,729
2008,13,flmbk,11711
2008,13,flnbk,646
2008,13,flsbk,4537
2008,13,gambk,6342
2008,13,ganbk,15615
2008,13,gasbk,6734
2008,13,gubk,347
2008,13,hibk,324
2008,13,ianbk,117
2008,13,iasbk,452
2008,13,idbk,726
2008,13,ilcbk,1759
2008,13,ilnbk,10635
2008,13,ilsbk,2304
2008,13,innbk,3073
2008,13,insbk,6461
2008,13,ksbk,2529
2008,13,kyebk,2107
2008,13,kywbk,2421
2008,13,laebk,1473
2008,13,lambk,748
2008,13,lawbk,6889
2008,13,mabk,3438
2008,13,mdbk,5263
2008,13,mebk,620
2008,13,miebk,8424
2008,13,miwbk,1396
2008,13,mnbk,2347
2008,13,moebk,3713
2008,13,mowbk,3156
2008,13,msnbk,2584
2008,13,mssbk,3171
2008,13,mtbk,265
2008,13,ncebk,5202
2008,13,ncmbk,2949
2008,13,ncwbk,2078
2008,13,ndbk,120
2008,13,nebk,1605
2008,13,nhbk,521
2008,13,njbk,6874
2008,13,nmbk,315
2008,13,nmibk,3
2008,13,nvbk,4494
2008,13,nyebk,3594
2008,13,nynbk,2626
2008,13,nysbk,1733
2008,13,nywbk,2343
2008,13,ohnbk,6770
2008,13,ohsbk,7953
2008,13,okebk,230
2008,13,oknbk,329
2008,13,okwbk,1326
2008,13,orbk,2738
2008,13,paebk,4258
2008,13,pambk,2505
2008,13,pawbk,3223
2008,13,prbk,5873
2008,13,scbk,4625
2008,13,sdbk,185
2008,13,tnebk,5421
2008,13,tnmbk,4818
2008,13,tnwbk,13117
2008,13,txebk,2627
2008,13,txnbk,7553
2008,13,txsbk,6188
2008,13,txwbk,4271
2008,13,utbk,3195
2008,13,vaebk,6278
2008,13,vawbk,2061
2008,13,vibk,21
2008,13,vtbk,249
2008,13,waebk,1053
2008,13,wawbk,3972
2008,13,wiebk,3113
2008,13,wiwbk,797
2008,13,wvnbk,194
2008,13,wvsbk,263
2008,13,wybk,105
2008,7,akbk,13974
2008,7,almbk,2187
2008,7,alnbk,8106
2008,7,alsbk,1626
2008,7,arebk,4301
2008,7,arwbk,3191
2008,7,azbk,13153
2008,7,cacbk,44235
2008,7,caebk,744
2008,7,canbk,23657
2008,7,casbk,10515
2008,7,cobk,17130
2008,7,ctbk,6122
2008,7,dcbk,2414
2008,7,debk,1558
2008,7,flmbk,26692
2008,7,flnbk,3137
2008,7,flsbk,13785
2008,7,gambk,4358
2008,7,ganbk,22017
2008,7,gasbk,2556
2008,7,gubk,491
2008,7,hibk,1472
2008,7,ianbk,2690
2008,7,iasbk,4555
2008,7,idbk,3993
2008,7,ilcbk,7012
2008,7,ilnbk,27360
2008,7,ilsbk,3378
2008,7,innbk,10945
2008,7,insbk,16984
2008,7,ksbk,6055
2008,7,kyebk,7551
2008,7,kywbk,8301
2008,7,laebk,1693
2008,7,lambk,1106
2008,7,lawbk,3432
2008,7,mabk,12136
2008,7,mdbk,11502
2008,7,mebk,3033
2008,7,miebk,32669
2008,7,miwbk,10680
2008,7,mnbk,13179
2008,7,moebk,8268
2008,7,mowbk,9209
2008,7,msnbk,2845
2008,7,mssbk,3153
2008,7,mtbk,1617
2008,7,ncebk,3681
2008,7,ncmbk,3301
2008,7,ncwbk,4274
2008,7,ndbk,1206
2008,7,nebk,4808
2008,7,nhbk,3394
2008,7,njbk,17670
2008,7,nmbk,3939
2008,7,nmibk,28
2008,7,nvbk,12140
2008,7,nyebk,11867
2008,7,nynbk,8299
2008,7,nysbk,7401
2008,7,nywbk,6722
2008,7,ohnbk,22237
2008,7,ohsbk,17596
2008,7,okebk,1463
2008,7,oknbk,2701
