court,total_ch13,prior_filers,prior_filer_rate,prior_filer_discharge_rate
almbk,850,0,0.0,0
alnbk,415,0,0.0,0
arebk,192,0,0.0,0
arwbk,305,0,0.0,0
azbk,2,0,0.0,0
cacbk,744,0,0.0,0
caebk,147,0,0.0,0
canbk,4,0,0.0,0
casbk,20,0,0.0,0
cobk,2,0,0.0,0
ctbk,19,0,0.0,0
dcbk,1,0,0.0,0
debk,1,0,0.0,0
flmbk,2136,0,0.0,0
flnbk,213,0,0.0,0
flsbk,19270,0,0.0,0
gambk,74,0,0.0,0
ganbk,197,0,0.0,0
hibk,1,0,0.0,0
ilcbk,52,0,0.0,0
ilnbk,3084,1,0.000324,0.0
ilsbk,33,0,0.0,0
innbk,1118,0,0.0,0
insbk,1415,0,0.0,0
ksbk,22176,111,0.005005,0.3423
kyebk,790,0,0.0,0
kywbk,584,0,0.0,0
mabk,66,0,0.0,0
mdbk,139,0,0.0,0
miebk,483,0,0.0,0
miwbk,17,0,0.0,0
mnbk,16,0,0.0,0
moebk,2739,0,0.0,0
mowbk,20900,194,0.009282,0.2526
msnbk,1,0,0.0,0
ncebk,220,0,0.0,0
ncmbk,334,0,0.0,0
nebk,18,0,0.0,0
njbk,1054,0,0.0,0
nmbk,2,0,0.0,0
nvbk,78,0,0.0,0
nyebk,61,0,0.0,0
nysbk,13,0,0.0,0
nywbk,12,0,0.0,0
ohnbk,273,0,0.0,0
ohsbk,163,0,0.0,0
okwbk,2,0,0.0,0
paebk,1098,0,0.0,0
prbk,2,0,0.0,0
scbk,334,0,0.0,0
sdbk,1,0,0.0,0
tnebk,1,0,0.0,0
tnwbk,1250,0,0.0,0
txebk,1,0,0.0,0
txnbk,291,0,0.0,0
txsbk,18641,0,0.0,0
txwbk,4,0,0.0,0
utbk,1,0,0.0,0
vaebk,546,0,0.0,0
vawbk,4,0,0.0,0
wiebk,549,6,0.010929,0.0
wiwbk,39,4,0.102564,0.0
wvnbk,6,0,0.0,0
