rank,circuit,district_count,total_filed,est_violations,prior_discharged,pro_se,dismiss_rate,prior_rate,viol_per_1000_filings,period,retrieved_at,source
1,11,9,994927,34300,79776,79198,59.4,34.3,34.47,FY2008-2024,2026-04-19,derived_from_matrix
2,6,9,705123,25892,60214,16272,58.5,37.0,36.72,FY2008-2024,2026-04-19,derived_from_matrix
3,7,7,500294,20065,46669,22625,58.0,37.1,40.11,FY2008-2024,2026-04-19,derived_from_matrix
4,5,9,558253,19619,45654,27086,61.1,32.3,35.14,FY2008-2024,2026-04-19,derived_from_matrix
5,9,15,648496,17257,40197,149741,61.7,29.9,26.61,FY2008-2024,2026-04-19,derived_from_matrix
6,4,9,447000,15215,35402,30850,52.1,29.6,34.04,FY2008-2024,2026-04-19,derived_from_matrix
7,8,10,266143,12593,29317,7384,51.0,35.8,47.32,FY2008-2024,2026-04-19,derived_from_matrix
8,10,8,196188,10086,23491,8853,50.1,37.6,51.41,FY2008-2024,2026-04-19,derived_from_matrix
9,3,6,270030,7417,17256,19883,60.6,30.9,27.47,FY2008-2024,2026-04-19,derived_from_matrix
10,1,5,159073,3174,7389,8800,53.1,20.7,19.95,FY2008-2024,2026-04-19,derived_from_matrix
11,2,6,146615,2773,6468,37423,67.3,31.8,18.91,FY2008-2024,2026-04-19,derived_from_matrix
12,DC,1,3021,50,118,938,74.5,31.3,16.55,FY2008-2024,2026-04-19,derived_from_matrix
