district_code,district_name,state,total_filed,est_violations,prior_rate,prose_rate,dismiss_rate,pathology,high_prior_flag,high_prose_flag,median_prior_threshold,median_prose_threshold,retrieved_at,source
3E,N.D. Ga.,GA,245569,7815,44.8,11.7,72.9,mixed_pathology,True,True,30.0,4.8,2026-04-19,derived_from_xsect
52,N.D. Ill.,IL,238789,7607,38.4,6.1,67.0,mixed_pathology,True,True,30.0,4.8,2026-04-19,derived_from_xsect
26,N.D. Ala.,AL,122368,5415,41.5,1.7,60.6,attorney_mill,True,False,30.0,4.8,2026-04-19,derived_from_xsect
36,W.D. La.,LA,109994,4962,33.3,0.8,56.3,attorney_mill,True,False,30.0,4.8,2026-04-19,derived_from_xsect
51,W.D. Tenn.,TN,173823,4861,53.5,1.4,79.6,attorney_mill,True,False,30.0,4.8,2026-04-19,derived_from_xsect
48,S.D. Ohio,OH,97883,4640,30.9,3.1,42.4,attorney_mill,True,False,30.0,4.8,2026-04-19,derived_from_xsect
3J,S.D. Ga.,GA,94058,4606,32.7,1.4,49.7,attorney_mill,True,False,30.0,4.8,2026-04-19,derived_from_xsect
3G,M.D. Ga.,GA,95513,4587,33.5,2.5,50.0,attorney_mill,True,False,30.0,4.8,2026-04-19,derived_from_xsect
56,S.D. Ind.,IN,91333,4248,29.8,2.3,42.7,baseline,False,False,30.0,4.8,2026-04-19,derived_from_xsect
22,E.D. Va.,VA,113166,3996,31.8,7.6,53.7,mixed_pathology,True,True,30.0,4.8,2026-04-19,derived_from_xsect
27,M.D. Ala.,AL,93125,3910,29.7,1.0,49.8,baseline,False,False,30.0,4.8,2026-04-19,derived_from_xsect
50,M.D. Tenn.,TN,69667,3801,43.2,2.1,56.7,attorney_mill,True,False,30.0,4.8,2026-04-19,derived_from_xsect
12,D. New Jersey,NJ,119583,3348,31.6,8.3,61.2,mixed_pathology,True,True,30.0,4.8,2026-04-19,derived_from_xsect
49,E.D. Tenn.,TN,83643,3292,37.1,1.7,58.3,attorney_mill,True,False,30.0,4.8,2026-04-19,derived_from_xsect
