rank,district_code,district_name,state,total_filed_fy08_19,prior_discharged_fy08_19,est_violations_fy08_19,violations_per_1000_filings,period,retrieved_at,source
1,23,W.D. Va.,VA,26867,4933,2120,78.91,FY2008-2019,2026-04-19,derived_from_matrix
2,67,D. Neb.,NE,19365,3400,1464,75.6,FY2008-2019,2026-04-19,derived_from_matrix
3,87,W.D. Okla.,OK,15979,2775,1192,74.6,FY2008-2019,2026-04-19,derived_from_matrix
4,80,E.D. Wash.,WA,13074,2038,875,66.93,FY2008-2019,2026-04-19,derived_from_matrix
5,76,D. Idaho,ID,7289,1116,479,65.72,FY2008-2019,2026-04-19,derived_from_matrix
6,37,N.D. Miss.,MS,35587,5419,2330,65.47,FY2008-2019,2026-04-19,derived_from_matrix
7,86,E.D. Okla.,OK,2130,323,138,64.79,FY2008-2019,2026-04-19,derived_from_matrix
8,58,W.D. Wis.,WI,10796,1590,684,63.36,FY2008-2019,2026-04-19,derived_from_matrix
9,53,C.D. Ill.,IL,17293,2545,1092,63.15,FY2008-2019,2026-04-19,derived_from_matrix
10,83,D. Kan.,KS,36171,5150,2216,61.26,FY2008-2019,2026-04-19,derived_from_matrix
11,50,M.D. Tenn.,TN,58143,8015,3447,59.28,FY2008-2019,2026-04-19,derived_from_matrix
12,43,E.D. Ky.,KY,30295,4110,1768,58.36,FY2008-2019,2026-04-19,derived_from_matrix
13,54,S.D. Ill.,IL,20648,2786,1199,58.07,FY2008-2019,2026-04-19,derived_from_matrix
14,61,W.D. Ark.,AR,22993,3098,1331,57.89,FY2008-2019,2026-04-19,derived_from_matrix
15,82,D. Colo.,CO,41228,5536,2381,57.75,FY2008-2019,2026-04-19,derived_from_matrix
16,3G,M.D. Ga.,GA,77405,9966,4285,55.36,FY2008-2019,2026-04-19,derived_from_matrix
17,60,E.D. Ark.,AR,49701,6369,2738,55.09,FY2008-2019,2026-04-19,derived_from_matrix
18,3J,S.D. Ga.,GA,78636,9901,4256,54.12,FY2008-2019,2026-04-19,derived_from_matrix
