rank,district_code,district_name,state,total_filed,dismiss_rate,prior_rate,prior_discharge_rate,prose_rate,est_violations,period,retrieved_at,source
1,3E,N.D. Ga.,GA,245569,72.9,44.8,18.1,11.7,7815,FY2008-2024,2026-04-19,fjc_rank_districts
2,52,N.D. Ill.,IL,238789,67.0,38.4,21.9,6.1,7607,FY2008-2024,2026-04-19,fjc_rank_districts
3,26,N.D. Ala.,AL,122368,60.6,41.5,30.3,1.7,5415,FY2008-2024,2026-04-19,fjc_rank_districts
4,36,W.D. La.,LA,109994,56.3,33.3,36.7,0.8,4962,FY2008-2024,2026-04-19,fjc_rank_districts
5,51,W.D. Tenn.,TN,173823,79.6,53.5,13.1,1.4,4861,FY2008-2024,2026-04-19,fjc_rank_districts
6,48,S.D. Ohio,OH,97883,42.4,30.9,40.3,3.1,4640,FY2008-2024,2026-04-19,fjc_rank_districts
7,3J,S.D. Ga.,GA,94058,49.7,32.7,40.4,1.4,4606,FY2008-2024,2026-04-19,fjc_rank_districts
8,3G,M.D. Ga.,GA,95513,50.0,33.5,38.4,2.5,4587,FY2008-2024,2026-04-19,fjc_rank_districts
9,56,S.D. Ind.,IN,91333,42.7,29.8,42.7,2.3,4248,FY2008-2024,2026-04-19,fjc_rank_districts
10,22,E.D. Va.,VA,113166,53.7,31.8,29.8,7.6,3996,FY2008-2024,2026-04-19,fjc_rank_districts
11,27,M.D. Ala.,AL,93125,49.8,29.7,39.7,1.0,3910,FY2008-2024,2026-04-19,fjc_rank_districts
12,50,M.D. Tenn.,TN,69667,56.7,43.2,33.9,2.1,3801,FY2008-2024,2026-04-19,fjc_rank_districts
13,12,D. New Jersey,NJ,119583,61.2,31.6,23.7,8.3,3348,FY2008-2024,2026-04-19,fjc_rank_districts
14,49,E.D. Tenn.,TN,83643,58.3,37.1,29.3,1.7,3292,FY2008-2024,2026-04-19,fjc_rank_districts
15,88,D. Utah,UT,68435,64.0,49.3,24.6,4.4,3257,FY2008-2024,2026-04-19,fjc_rank_districts
16,3A,M.D. Fla.,FL,150813,58.0,27.8,19.1,14.7,3141,FY2008-2024,2026-04-19,fjc_rank_districts
17,47,N.D. Ohio,OH,71529,50.6,37.0,31.6,4.1,3121,FY2008-2024,2026-04-19,fjc_rank_districts
18,60,E.D. Ark.,AR,61314,61.8,44.3,29.5,1.0,2968,FY2008-2024,2026-04-19,fjc_rank_districts
19,39,N.D. Tex.,TX,112225,67.1,33.4,20.7,4.5,2952,FY2008-2024,2026-04-19,fjc_rank_districts
20,73,C.D. Cal.,CA,210421,80.7,34.6,10.0,39.6,2922,FY2008-2024,2026-04-19,fjc_rank_districts
