district_code,district_name,state,fy,total_filed,discharged,dismissed,closed,dismiss_rate,prior_filers,prior_rate,prior_discharged,est_violations,pro_se,pro_se_rate,period_status,retrieved_at,source
00,D. Maine,ME,2008,478,176,193,369,52.3,67,14.0,16,7,22,4.6,mature,2026-04-19,fjc_query
00,D. Maine,ME,2009,556,284,156,440,35.5,82,14.7,26,11,21,3.8,mature,2026-04-19,fjc_query
00,D. Maine,ME,2010,548,312,144,456,31.6,72,13.1,35,15,19,3.5,mature,2026-04-19,fjc_query
00,D. Maine,ME,2011,536,309,139,448,31.0,80,14.9,31,13,16,3.0,mature,2026-04-19,fjc_query
00,D. Maine,ME,2012,416,244,115,359,32.0,70,16.8,38,16,17,4.1,mature,2026-04-19,fjc_query
00,D. Maine,ME,2013,393,200,119,319,37.3,58,14.8,24,10,12,3.1,mature,2026-04-19,fjc_query
00,D. Maine,ME,2014,357,191,106,297,35.7,47,13.2,14,6,9,2.5,mature,2026-04-19,fjc_query
00,D. Maine,ME,2015,296,153,101,254,39.8,58,19.6,20,9,13,4.4,mature,2026-04-19,fjc_query
00,D. Maine,ME,2016,272,173,69,242,28.5,57,21.0,34,15,5,1.8,mature,2026-04-19,fjc_query
00,D. Maine,ME,2017,237,125,83,208,39.9,55,23.2,25,11,10,4.2,mature,2026-04-19,fjc_query
00,D. Maine,ME,2018,218,110,81,191,42.4,60,27.5,17,7,16,7.3,mature,2026-04-19,fjc_query
00,D. Maine,ME,2019,220,115,69,184,37.5,48,21.8,16,7,14,6.4,mature,2026-04-19,fjc_query
00,D. Maine,ME,2020,193,98,67,165,40.6,46,23.8,20,9,12,6.2,partial_covid,2026-04-19,fjc_query
00,D. Maine,ME,2021,86,21,30,51,58.8,18,20.9,3,0,2,2.3,censored,2026-04-19,fjc_query
00,D. Maine,ME,2022,104,8,39,47,83.0,31,29.8,0,0,12,11.5,censored,2026-04-19,fjc_query
00,D. Maine,ME,2023,113,4,48,52,92.3,30,26.5,1,0,23,20.4,censored,2026-04-19,fjc_query
00,D. Maine,ME,2024,106,3,40,43,93.0,34,32.1,2,0,14,13.2,censored,2026-04-19,fjc_query
01,D. Massachusetts,MA,2008,3891,956,2432,3388,71.8,760,19.5,90,39,659,16.9,mature,2026-04-19,fjc_query
01,D. Massachusetts,MA,2009,3500,1539,1472,3011,48.9,540,15.4,126,54,352,10.1,mature,2026-04-19,fjc_query
01,D. Massachusetts,MA,2010,5078,2226,2222,4448,50.0,662,13.0,156,67,508,10.0,mature,2026-04-19,fjc_query
01,D. Massachusetts,MA,2011,4929,2023,2314,4337,53.4,751,15.2,158,68,500,10.1,mature,2026-04-19,fjc_query
01,D. Massachusetts,MA,2012,4402,1627,2261,3888,58.2,823,18.7,134,58,468,10.6,mature,2026-04-19,fjc_query
01,D. Massachusetts,MA,2013,2688,1207,1176,2383,49.3,543,20.2,130,56,142,5.3,mature,2026-04-19,fjc_query
01,D. Massachusetts,MA,2014,2155,930,1009,1939,52.0,492,22.8,98,42,144,6.7,mature,2026-04-19,fjc_query
01,D. Massachusetts,MA,2015,2165,818,1173,1991,58.9,632,29.2,124,53,217,10.0,mature,2026-04-19,fjc_query
01,D. Massachusetts,MA,2016,2661,845,1630,2475,65.9,723,27.2,114,49,287,10.8,mature,2026-04-19,fjc_query
01,D. Massachusetts,MA,2017,2697,823,1688,2511,67.2,877,32.5,141,61,327,12.1,mature,2026-04-19,fjc_query
01,D. Massachusetts,MA,2018,3142,888,2064,2952,69.9,1082,34.4,157,68,410,13.0,mature,2026-04-19,fjc_query
01,D. Massachusetts,MA,2019,2777,875,1729,2604,66.4,916,33.0,131,56,337,12.1,mature,2026-04-19,fjc_query
01,D. Massachusetts,MA,2020,1509,523,863,1386,62.3,461,30.6,84,36,115,7.6,partial_covid,2026-04-19,fjc_query
01,D. Massachusetts,MA,2021,804,158,461,619,74.5,283,35.2,23,10,56,7.0,censored,2026-04-19,fjc_query
01,D. Massachusetts,MA,2022,1131,140,677,817,82.9,385,34.0,24,10,100,8.8,censored,2026-04-19,fjc_query
01,D. Massachusetts,MA,2023,1241,24,700,724,96.7,381,30.7,6,3,134,10.8,censored,2026-04-19,fjc_query
01,D. Massachusetts,MA,2024,1645,26,766,792,96.7,445,27.1,7,3,189,11.5,censored,2026-04-19,fjc_query
02,D. New Hampshire,NH,2008,785,231,378,609,62.1,179,22.8,43,18,65,8.3,mature,2026-04-19,fjc_query
02,D. New Hampshire,NH,2009,878,368,318,686,46.4,144,16.4,41,18,62,7.1,mature,2026-04-19,fjc_query
02,D. New Hampshire,NH,2010,1017,456,372,828,44.9,140,13.8,50,22,87,8.6,mature,2026-04-19,fjc_query
02,D. New Hampshire,NH,2011,1118,520,432,952,45.4,167,14.9,46,20,85,7.6,mature,2026-04-19,fjc_query
02,D. New Hampshire,NH,2012,961,410,420,830,50.6,193,20.1,44,19,85,8.8,mature,2026-04-19,fjc_query
02,D. New Hampshire,NH,2013,758,332,324,656,49.4,201,26.5,51,22,55,7.3,mature,2026-04-19,fjc_query
02,D. New Hampshire,NH,2014,584,271,247,518,47.7,153,26.2,37,16,42,7.2,mature,2026-04-19,fjc_query
02,D. New Hampshire,NH,2015,520,237,223,460,48.5,139,26.7,33,14,54,10.4,mature,2026-04-19,fjc_query
02,D. New Hampshire,NH,2016,435,172,217,389,55.8,138,31.7,22,9,60,13.8,mature,2026-04-19,fjc_query
02,D. New Hampshire,NH,2017,458,179,227,406,55.9,159,34.7,34,15,78,17.0,mature,2026-04-19,fjc_query
