rank,state,district_count,total_filed,discharged,dismissed,dismiss_rate,prior_filers,prior_rate,prior_discharged,est_violations,pro_se,pro_se_rate,period,retrieved_at,source
1,GA,3,435140,140666,240348,63.1,172701,39.7,39553,17008,32244,7.4,FY2008-2024,2026-04-19,fjc_query+rollup
2,TN,3,327133,86420,199607,69.8,154165,47.1,27799,11954,5268,1.6,FY2008-2024,2026-04-19,fjc_query+rollup
3,AL,3,269688,96768,121663,55.7,96525,35.8,27076,11643,3373,1.3,FY2008-2024,2026-04-19,fjc_query+rollup
4,IL,3,283280,88779,153574,63.4,106795,37.7,23355,10043,15629,5.5,FY2008-2024,2026-04-19,fjc_query+rollup
5,TX,4,312246,93575,177809,65.5,99772,32.0,20613,8864,21244,6.8,FY2008-2024,2026-04-19,fjc_query+rollup
6,CA,4,415607,119059,257136,68.4,129490,31.2,19418,8350,125180,30.1,FY2008-2024,2026-04-19,fjc_query+rollup
7,OH,2,169412,78043,65989,45.8,56675,33.5,18047,7760,5934,3.5,FY2008-2024,2026-04-19,fjc_query+rollup
8,IN,2,139441,59640,53302,47.2,45726,32.8,15047,6470,3545,2.5,FY2008-2024,2026-04-19,fjc_query+rollup
9,VA,2,146202,61384,61045,49.9,47674,32.6,14679,6312,9911,6.8,FY2008-2024,2026-04-19,fjc_query+rollup
10,LA,3,150424,55986,70938,55.9,46476,30.9,14062,6047,4084,2.7,FY2008-2024,2026-04-19,fjc_query+rollup
11,FL,3,290099,110036,146704,57.1,71917,24.8,13147,5653,43581,15.0,FY2008-2024,2026-04-19,fjc_query+rollup
12,MS,2,95583,36926,44115,54.4,33893,35.5,10979,4721,1758,1.8,FY2008-2024,2026-04-19,fjc_query+rollup
13,MO,2,104802,40480,47046,53.8,37378,35.7,10526,4526,3394,3.2,FY2008-2024,2026-04-19,fjc_query+rollup
14,NC,3,146103,70959,56566,44.4,32946,22.5,10448,4493,4812,3.3,FY2008-2024,2026-04-19,fjc_query+rollup
15,AR,2,89863,30895,43693,58.6,37459,41.7,10241,4404,1064,1.2,FY2008-2024,2026-04-19,fjc_query+rollup
16,PA,3,137981,45942,71640,60.9,42390,30.7,8545,3674,8434,6.1,FY2008-2024,2026-04-19,fjc_query+rollup
17,WI,2,77573,27473,36093,56.8,33028,42.6,8267,3555,3451,4.4,FY2008-2024,2026-04-19,fjc_query+rollup
18,WA,2,69432,33769,27043,44.5,21183,30.5,8179,3517,6900,9.9,FY2008-2024,2026-04-19,fjc_query+rollup
19,KY,2,83669,33574,30935,48.0,25628,30.6,8044,3459,1226,1.5,FY2008-2024,2026-04-19,fjc_query+rollup
20,NJ,1,119583,39118,61825,61.2,37743,31.6,7787,3348,9879,8.3,FY2008-2024,2026-04-19,fjc_query+rollup
21,UT,1,68435,21894,38921,64.0,33732,49.3,7575,3257,3014,4.4,FY2008-2024,2026-04-19,fjc_query+rollup
22,MI,2,124909,49142,51547,51.2,24460,19.6,6324,2719,3844,3.1,FY2008-2024,2026-04-19,fjc_query+rollup
23,CO,1,48406,22805,19143,45.6,15929,32.9,5892,2534,3253,6.7,FY2008-2024,2026-04-19,fjc_query+rollup
24,NY,4,127960,37687,74723,66.5,40064,31.3,5789,2489,34239,26.8,FY2008-2024,2026-04-19,fjc_query+rollup
25,KS,1,44949,25615,11748,31.4,11738,26.1,5630,2421,729,1.6,FY2008-2024,2026-04-19,fjc_query+rollup
26,SC,1,64712,25888,30049,53.7,18112,28.0,5365,2307,1916,3.0,FY2008-2024,2026-04-19,fjc_query+rollup
27,OR,1,40678,20057,14326,41.7,11653,28.6,4468,1921,2460,6.0,FY2008-2024,2026-04-19,fjc_query+rollup
28,PR,1,89959,38340,36666,48.9,16729,18.6,4450,1914,1128,1.3,FY2008-2024,2026-04-19,fjc_query+rollup
29,MD,1,82868,19766,47634,70.7,31956,38.6,4369,1879,13649,16.5,FY2008-2024,2026-04-19,fjc_query+rollup
30,OK,3,26961,11160,11137,49.9,10303,38.2,3786,1628,1152,4.3,FY2008-2024,2026-04-19,fjc_query+rollup
31,MN,1,35287,18314,10032,35.4,8857,25.1,3729,1603,1411,4.0,FY2008-2024,2026-04-19,fjc_query+rollup
