state,fy,district_count,total_filed,discharged,dismissed,closed,dismiss_rate,prior_filers,prior_rate,prior_discharged,est_violations,pro_se,pro_se_rate,period_status,retrieved_at,source
AK,2008,1,121,51,43,94,45.7,12,9.9,3,1,8,6.6,mature,2026-04-19,fjc_query+rollup
AK,2009,1,153,70,60,130,46.2,13,8.5,5,2,10,6.5,mature,2026-04-19,fjc_query+rollup
AK,2010,1,195,94,70,164,42.7,25,12.8,7,3,21,10.8,mature,2026-04-19,fjc_query+rollup
AK,2011,1,155,60,66,126,52.4,11,7.1,4,2,13,8.4,mature,2026-04-19,fjc_query+rollup
AK,2012,1,138,67,52,119,43.7,23,16.7,6,3,19,13.8,mature,2026-04-19,fjc_query+rollup
AK,2013,1,104,44,46,90,51.1,24,23.1,4,2,14,13.5,mature,2026-04-19,fjc_query+rollup
AK,2014,1,70,24,34,58,58.6,11,15.7,3,1,14,20.0,mature,2026-04-19,fjc_query+rollup
AK,2015,1,80,31,39,70,55.7,17,21.2,4,2,18,22.5,mature,2026-04-19,fjc_query+rollup
AK,2016,1,58,14,38,52,73.1,11,19.0,1,0,11,19.0,mature,2026-04-19,fjc_query+rollup
AK,2017,1,84,27,49,76,64.5,22,26.2,7,3,27,32.1,mature,2026-04-19,fjc_query+rollup
AK,2018,1,93,28,50,78,64.1,19,20.4,6,3,29,31.2,mature,2026-04-19,fjc_query+rollup
AK,2019,1,88,24,51,75,68.0,19,21.6,3,1,29,33.0,mature,2026-04-19,fjc_query+rollup
AK,2020,1,46,18,23,41,56.1,7,15.2,0,0,11,23.9,partial_covid,2026-04-19,fjc_query+rollup
AK,2021,1,29,7,11,18,,4,13.8,1,0,9,31.0,censored,2026-04-19,fjc_query+rollup
AK,2022,1,34,4,17,21,81.0,4,11.8,0,0,10,29.4,censored,2026-04-19,fjc_query+rollup
AK,2023,1,53,0,31,31,100.0,10,18.9,0,0,22,41.5,censored,2026-04-19,fjc_query+rollup
AK,2024,1,54,1,25,26,96.2,7,13.0,0,0,18,33.3,censored,2026-04-19,fjc_query+rollup
AL,2008,3,17040,6338,8758,15096,58.0,5468,32.1,1533,659,131,0.8,mature,2026-04-19,fjc_query+rollup
AL,2009,3,20255,8869,9260,18129,51.1,6316,31.2,2172,934,165,0.8,mature,2026-04-19,fjc_query+rollup
AL,2010,3,19314,8739,8694,17433,49.9,6332,32.8,2270,976,230,1.2,mature,2026-04-19,fjc_query+rollup
AL,2011,3,18355,7936,8633,16569,52.1,5962,32.5,2023,870,257,1.4,mature,2026-04-19,fjc_query+rollup
AL,2012,3,17390,7144,8497,15641,54.3,5888,33.9,1873,805,227,1.3,mature,2026-04-19,fjc_query+rollup
AL,2013,3,17117,7094,8278,15372,53.9,6361,37.2,2052,882,210,1.2,mature,2026-04-19,fjc_query+rollup
AL,2014,3,15702,6520,7598,14118,53.8,5945,37.9,1934,832,195,1.2,mature,2026-04-19,fjc_query+rollup
AL,2015,3,16066,6614,7820,14434,54.2,5998,37.3,1930,830,254,1.6,mature,2026-04-19,fjc_query+rollup
AL,2016,3,16349,6928,7863,14791,53.2,6005,36.7,2023,870,222,1.4,mature,2026-04-19,fjc_query+rollup
AL,2017,3,17088,7376,8087,15463,52.3,6288,36.8,2181,938,275,1.6,mature,2026-04-19,fjc_query+rollup
AL,2018,3,16830,7505,7743,15248,50.8,6124,36.4,2217,953,270,1.6,mature,2026-04-19,fjc_query+rollup
